iter	Passed	Remaining
0	65	6451
1	66	3246
2	66	2162
3	67	1621
4	68	1297
5	68	1079
6	69	923
7	70	806
8	70	716
9	71	645
10	72	587
11	73	538
12	74	497
13	75	461
14	76	430
15	76	402
16	77	378
17	78	356
18	78	336
19	79	317
20	80	301
21	80	286
22	81	272
23	82	259
24	82	248
25	83	237
26	83	226
27	84	217
28	85	208
29	85	200
30	86	192
31	87	185
32	87	178
33	88	171
34	89	166
35	90	160
36	90	154
37	91	149
38	92	144
39	93	139
40	94	135
41	95	131
42	95	126
43	96	122
44	97	118
45	97	114
46	98	110
47	98	107
48	99	103
49	100	100
50	101	97
51	102	94
52	103	91
53	104	88
54	104	85
55	105	83
56	106	80
57	107	77
58	108	75
59	109	72
60	110	70
61	110	67
62	111	65
63	112	63
64	112	60
65	113	58
66	114	56
67	114	54
68	115	51
69	116	49
70	116	47
71	117	45
72	118	43
73	118	41
74	119	39
75	120	37
76	120	36
77	121	34
78	122	32
79	123	30
80	124	29
81	124	27
82	125	25
83	127	24
84	128	22
85	129	21
86	129	19
87	130	17
88	131	16
89	132	14
90	133	13
91	134	11
92	134	10
93	135	8
94	136	7
95	137	5
96	137	4
97	138	2
98	139	1
99	140	0
