game_date,game_pk,pitcher_id,Name,team_abbrev,opp_abbrev,home_team,away_team,pitches,SO,BB,H,HR,HBP,swinging_strikes,called_strikes,is_home,swstr_pct
2024-04-01,744875,594835,"Gonzales, Marco",PIT,WSH,WSH,PIT,77,2,2,4,0,0,3,12,0,0.03896103896103896
2024-04-01,744875,669022,"Gore, MacKenzie",WSH,PIT,WSH,PIT,101,6,2,5,0,2,14,21,1,0.13861386138613863
2024-04-01,745109,641540,"Dunning, Dane",TEX,TB,TB,TEX,93,7,4,3,2,2,16,14,0,0.17204301075268819
2024-04-01,745109,686752,"Pepiot, Ryan",TB,TEX,TB,TEX,94,3,4,4,1,0,9,12,1,0.09574468085106383
2024-04-01,745277,663474,"McKenzie, Triston",CLE,SEA,SEA,CLE,78,2,2,4,1,0,7,14,0,0.08974358974358974
2024-04-01,745277,676106,"Hancock, Emerson",SEA,CLE,SEA,CLE,81,1,1,4,1,2,7,15,1,0.08641975308641975
2024-04-01,745437,502043,"Gibson, Kyle",STL,SD,SD,STL,94,4,2,4,2,0,7,16,0,0.07446808510638298
2024-04-01,745437,663362,"Waldron, Matt",SD,STL,SD,STL,91,7,1,9,1,0,9,17,1,0.0989010989010989
2024-04-01,745600,650911,"Sánchez, Cristopher",PHI,CIN,PHI,CIN,85,8,1,5,0,0,13,19,1,0.15294117647058825
2024-04-01,745600,671096,"Abbott, Andrew",CIN,PHI,PHI,CIN,90,4,2,3,0,0,6,15,0,0.06666666666666667
2024-04-01,745675,656557,"Houck, Tanner",BOS,ATH,ATH,BOS,83,10,0,3,0,0,15,19,0,0.18072289156626506
2024-04-01,745675,671212,"Boyle, Joe",ATH,BOS,ATH,BOS,84,4,4,8,0,0,12,9,1,0.14285714285714285
2024-04-01,745842,640455,"Manaea, Sean",NYM,DET,NYM,DET,88,8,2,1,0,0,12,14,1,0.13636363636363635
2024-04-01,745842,681857,"Olson, Reese",DET,NYM,NYM,DET,93,3,2,3,0,1,12,12,0,0.12903225806451613
2024-04-01,746085,676974,"Meyer, Max",MIA,LAA,MIA,LAA,79,4,2,2,1,0,7,15,1,0.08860759493670886
2024-04-01,746085,681217,"Silseth, Chase",LAA,MIA,MIA,LAA,76,5,2,5,0,0,13,13,0,0.17105263157894737
2024-04-01,746170,572020,"Paxton, James",LAD,SF,LAD,SF,97,5,5,4,0,0,11,20,1,0.1134020618556701
2024-04-01,746170,676775,"Winn, Keaton",SF,LAD,LAD,SF,89,6,1,4,0,0,12,16,0,0.1348314606741573
2024-04-01,746409,669854,"Blanco, Ronel",HOU,TOR,HOU,TOR,106,7,2,0,0,0,17,14,1,0.16037735849056603
