Name,Team,W,L,ERA,G,GS,IP,TBF,H,R,ER,HR,BB,SO,K/9,BB/9,K/BB,H/9,HR/9,AVG,WHIP,BABIP,LOB%,FIP,xFIP,SIERA,GB%,FB%,LD%,HR/FB,K%,BB%,K-BB%,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,Soft%,Med%,Hard%,FBv,SL%,SLv,CB%,CBv,CH%,CHv,wFB,wSL,wCB,wCH,wFB/C,wSL/C,wCB/C,wCH/C,CStr%,CSW%,xERA,EV,Barrel%,HardHit%
Chris Sale,ATL,18,3,2.38,29,29,177.2,702,141,48,47,9,39,225,11.4,1.98,5.77,7.14,0.46,0.215,1.01,0.314,0.7979999999999999,2.09,2.64,2.8,0.44799999999999995,0.336,0.21600000000000003,0.063,0.321,0.055999999999999994,0.265,0.369,0.6459999999999999,0.49,0.5760000000000001,0.812,0.711,0.435,0.6940000000000001,0.141,0.16699999999999998,0.584,0.249,94.8,0.40299999999999997,78.7,,,0.142,86.9,-5.5,24.4,,12.1,-0.43,2.15,,3.02,0.182,0.32299999999999995,2.78,86.5,0.055999999999999994,0.312
Tarik Skubal,DET,18,4,2.39,31,31,192.0,753,142,54,51,15,35,228,10.69,1.64,6.51,6.66,0.7,0.2,0.92,0.273,0.8,2.49,2.83,2.89,0.457,0.358,0.184,0.08800000000000001,0.303,0.046,0.256,0.35200000000000004,0.698,0.516,0.5660000000000001,0.8009999999999999,0.7170000000000001,0.475,0.687,0.146,0.18100000000000002,0.565,0.254,96.8,0.146,88.8,0.042,78.5,0.273,86.3,25.0,3.0,1.6,8.6,1.62,0.71,1.32,1.1,0.175,0.321,2.69,87.4,0.067,0.337
Zack Wheeler,PHI,16,7,2.57,32,32,200.0,787,139,62,57,20,52,224,10.08,2.34,4.31,6.26,0.9,0.191,0.96,0.246,0.8009999999999999,3.13,3.3,3.32,0.426,0.39,0.184,0.10300000000000001,0.285,0.066,0.21899999999999997,0.364,0.713,0.511,0.6409999999999999,0.8220000000000001,0.747,0.42,0.642,0.129,0.209,0.501,0.29,95.1,0.12300000000000001,85.0,0.10099999999999999,81.8,,,28.0,4.2,-2.3,,1.48,1.08,-0.73,,0.14400000000000002,0.273,2.82,86.7,0.083,0.332
Cole Ragans,KCR,11,9,3.14,32,32,186.1,762,146,71,65,15,67,223,10.77,3.24,3.33,7.05,0.72,0.212,1.14,0.29,0.747,2.99,3.46,3.49,0.40700000000000003,0.405,0.187,0.081,0.293,0.08800000000000001,0.205,0.331,0.716,0.488,0.5770000000000001,0.7909999999999999,0.705,0.409,0.5870000000000001,0.14400000000000002,0.17600000000000002,0.524,0.3,95.4,0.133,86.1,0.10400000000000001,80.8,0.237,84.8,10.5,-0.6,3.1,10.6,0.81,-0.14,0.96,1.43,0.145,0.289,3.25,88.3,0.062,0.354
Seth Lugo,KCR,16,9,3.0,33,33,206.2,836,177,75,69,16,48,181,7.88,2.09,3.77,7.71,0.7,0.227,1.09,0.277,0.7509999999999999,3.25,3.83,3.94,0.442,0.36700000000000005,0.191,0.07400000000000001,0.217,0.057,0.159,0.314,0.6609999999999999,0.46299999999999997,0.634,0.897,0.795,0.43,0.644,0.095,0.156,0.542,0.303,92.2,0.23,82.6,0.166,79.8,0.061,87.5,7.1,3.5,5.3,-1.3,0.52,0.49,1.02,-0.7,0.187,0.281,3.76,88.5,0.08,0.39
Dylan Cease,SDP,14,11,3.47,33,33,189.1,762,137,80,73,18,65,224,10.65,3.09,3.45,6.51,0.86,0.197,1.07,0.263,0.6940000000000001,3.1,3.44,3.46,0.39799999999999996,0.424,0.17800000000000002,0.091,0.294,0.085,0.209,0.335,0.706,0.48,0.531,0.813,0.693,0.389,0.596,0.147,0.147,0.546,0.307,96.9,0.43,87.7,0.11900000000000001,82.5,0.009000000000000001,69.7,2.8,27.2,-2.2,-1.2,0.21,1.98,-0.59,-4.13,0.145,0.293,3.31,89.0,0.085,0.384
Cristopher Sanchez,PHI,11,9,3.32,31,31,181.2,754,182,76,67,11,44,153,7.58,2.18,3.48,9.02,0.54,0.256,1.24,0.313,0.7120000000000001,3.0,3.19,3.58,0.574,0.215,0.21100000000000002,0.09300000000000001,0.203,0.057999999999999996,0.145,0.39299999999999996,0.6729999999999999,0.512,0.672,0.865,0.78,0.426,0.6579999999999999,0.113,0.17800000000000002,0.537,0.285,94.5,0.168,84.4,,,0.35700000000000004,85.2,-7.9,1.2,,15.6,-0.6,0.25,,1.56,0.163,0.275,3.6,87.4,0.054000000000000006,0.345
Garrett Crochet,CHW,6,12,3.58,32,32,146.0,595,123,61,58,18,33,209,12.88,2.03,6.33,7.58,1.11,0.221,1.07,0.318,0.736,2.69,2.38,2.53,0.451,0.361,0.188,0.14400000000000002,0.35100000000000003,0.055,0.29600000000000004,0.36,0.7290000000000001,0.529,0.527,0.7909999999999999,0.6940000000000001,0.45799999999999996,0.64,0.162,0.175,0.494,0.33,97.2,0.099,84.3,,,0.059000000000000004,91.0,22.9,-5.4,,-0.6,1.71,-2.29,,-0.43,0.145,0.307,2.85,88.3,0.092,0.38799999999999996
Logan Webb,SFG,13,10,3.47,33,33,204.2,841,202,83,79,11,50,172,7.56,2.2,3.44,8.88,0.48,0.256,1.23,0.315,0.7170000000000001,2.95,3.28,3.61,0.568,0.22699999999999998,0.205,0.079,0.205,0.059000000000000004,0.145,0.34600000000000003,0.628,0.46,0.6970000000000001,0.91,0.8140000000000001,0.40299999999999997,0.6970000000000001,0.085,0.17,0.5379999999999999,0.292,92.6,0.213,83.8,,,0.308,87.4,15.3,0.9,,-1.4,1.05,0.14,,-0.14,0.19899999999999998,0.284,4.37,89.8,0.07,0.462
Paul Skenes,PIT,11,3,1.96,23,23,133.0,514,94,31,29,10,32,170,11.5,2.17,5.31,6.36,0.68,0.197,0.95,0.284,0.856,2.44,2.54,2.71,0.513,0.309,0.17800000000000002,0.106,0.331,0.062,0.268,0.345,0.7,0.496,0.588,0.833,0.736,0.42700000000000005,0.623,0.131,0.193,0.5720000000000001,0.235,98.9,0.161,85.5,0.109,83.0,0.054000000000000006,87.4,5.0,2.6,-0.2,2.6,0.6,0.77,-0.11,2.32,0.163,0.294,2.5,87.8,0.052000000000000005,0.363
