Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,SO,HBP,AVG,OBP,SLG,OPS,ISO,BABIP,K%,BB%,BB/K,wOBA,wRC+,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,GB%,FB%,LD%,Soft%,Med%,Hard%,EV,Barrel%,HardHit%,CStr%,CSW%
LAD,2403,6255,5522,1423,873,291,26,233,842,815,602,1336,64,0.258,0.335,0.446,0.781,0.189,0.297,0.214,0.096,0.45,0.337,117,0.29100000000000004,0.7120000000000001,0.47,0.634,0.8490000000000001,0.773,0.425,0.619,0.107,0.386,0.4,0.214,0.14800000000000002,0.523,0.32899999999999996,89.4,0.092,0.41200000000000003,0.158,0.265
ARI,2436,6284,5522,1452,933,271,37,211,886,845,569,1265,84,0.263,0.337,0.44,0.777,0.177,0.302,0.201,0.091,0.45,0.337,115,0.295,0.675,0.456,0.653,0.885,0.7979999999999999,0.424,0.596,0.092,0.436,0.37200000000000005,0.192,0.155,0.52,0.325,89.1,0.079,0.39,0.174,0.266
NYY,2304,6245,5450,1352,857,243,15,237,815,782,672,1326,49,0.248,0.333,0.429,0.761,0.181,0.283,0.212,0.10800000000000001,0.51,0.331,118,0.27899999999999997,0.664,0.44299999999999995,0.643,0.862,0.7829999999999999,0.42700000000000005,0.595,0.096,0.428,0.375,0.198,0.147,0.522,0.331,90.1,0.105,0.424,0.17600000000000002,0.272
PHI,2317,6166,5534,1423,916,285,24,198,784,750,515,1370,62,0.257,0.325,0.425,0.75,0.168,0.306,0.222,0.084,0.38,0.325,107,0.335,0.701,0.48700000000000004,0.609,0.8690000000000001,0.764,0.415,0.633,0.115,0.428,0.37,0.203,0.155,0.504,0.341,89.0,0.077,0.39799999999999996,0.155,0.26899999999999996
BAL,2412,6176,5567,1391,861,262,33,235,786,759,489,1359,64,0.25,0.315,0.435,0.751,0.186,0.288,0.22,0.079,0.36,0.324,114,0.325,0.701,0.485,0.645,0.862,0.778,0.423,0.607,0.107,0.405,0.405,0.19,0.153,0.505,0.342,89.7,0.08900000000000001,0.424,0.159,0.267
SDP,2429,6103,5526,1456,989,259,18,190,760,726,458,1077,56,0.263,0.324,0.42,0.745,0.157,0.295,0.17600000000000002,0.075,0.43,0.324,111,0.313,0.688,0.479,0.684,0.893,0.816,0.441,0.628,0.08800000000000001,0.423,0.37,0.207,0.15,0.544,0.305,89.1,0.071,0.386,0.16899999999999998,0.257
HOU,2336,6107,5530,1448,978,264,16,190,740,701,448,1176,67,0.262,0.322,0.418,0.741,0.157,0.299,0.193,0.073,0.38,0.321,111,0.34700000000000003,0.716,0.498,0.647,0.877,0.782,0.408,0.63,0.10800000000000001,0.423,0.375,0.20199999999999999,0.153,0.5479999999999999,0.299,88.9,0.075,0.389,0.152,0.26
BOS,2416,6192,5577,1404,869,311,30,194,751,724,493,1570,73,0.252,0.319,0.423,0.741,0.171,0.314,0.254,0.08,0.31,0.321,105,0.32799999999999996,0.698,0.485,0.601,0.835,0.7440000000000001,0.424,0.625,0.124,0.41600000000000004,0.382,0.20199999999999999,0.168,0.519,0.313,89.1,0.08900000000000001,0.41,0.161,0.285
NYM,2404,6166,5510,1357,856,279,15,207,768,735,514,1382,92,0.246,0.319,0.415,0.734,0.169,0.291,0.22399999999999998,0.083,0.37,0.32,108,0.321,0.6890000000000001,0.478,0.613,0.867,0.769,0.42700000000000005,0.617,0.11,0.42100000000000004,0.376,0.20199999999999999,0.16,0.521,0.319,89.3,0.08900000000000001,0.41200000000000003,0.165,0.275
MIL,2381,6170,5472,1359,900,249,33,177,777,742,597,1459,46,0.248,0.326,0.403,0.729,0.155,0.305,0.23600000000000002,0.09699999999999999,0.41,0.319,105,0.289,0.6559999999999999,0.447,0.636,0.8590000000000001,0.777,0.431,0.613,0.1,0.45399999999999996,0.36,0.18600000000000003,0.166,0.518,0.315,88.6,0.07200000000000001,0.385,0.184,0.284
MIN,2451,6123,5490,1352,837,309,23,183,742,702,473,1306,101,0.246,0.315,0.411,0.726,0.165,0.289,0.213,0.077,0.36,0.316,105,0.327,0.705,0.484,0.613,0.863,0.764,0.415,0.62,0.114,0.392,0.409,0.19899999999999998,0.16699999999999998,0.515,0.319,88.8,0.077,0.38299999999999995,0.159,0.273
ATL,2283,6075,5481,1333,832,273,15,213,704,674,485,1461,58,0.243,0.309,0.415,0.724,0.172,0.291,0.24,0.08,0.33,0.315,101,0.33,0.7290000000000001,0.49700000000000005,0.609,0.833,0.747,0.42,0.63,0.126,0.413,0.389,0.198,0.155,0.499,0.34700000000000003,89.9,0.10099999999999999,0.426,0.145,0.271
CHC,2364,6116,5441,1318,866,253,29,170,736,696,546,1362,70,0.242,0.317,0.393,0.71,0.151,0.291,0.223,0.08900000000000001,0.4,0.311,100,0.311,0.7040000000000001,0.479,0.64,0.846,0.769,0.426,0.624,0.11,0.409,0.397,0.19399999999999998,0.16699999999999998,0.537,0.29600000000000004,88.7,0.078,0.38299999999999995,0.16,0.27
KCR,2409,5982,5421,1343,874,264,35,170,735,711,429,1161,52,0.248,0.306,0.403,0.71,0.156,0.283,0.19399999999999998,0.07200000000000001,0.37,0.307,97,0.336,0.703,0.488,0.659,0.882,0.792,0.414,0.627,0.10099999999999999,0.41200000000000003,0.402,0.18600000000000003,0.161,0.523,0.316,89.5,0.07400000000000001,0.405,0.161,0.262
TOR,2400,6060,5410,1306,844,280,26,156,671,640,510,1233,78,0.241,0.313,0.389,0.703,0.148,0.283,0.203,0.084,0.41,0.307,101,0.311,0.688,0.47200000000000003,0.675,0.871,0.797,0.428,0.626,0.096,0.418,0.382,0.2,0.17,0.52,0.309,88.1,0.07200000000000001,0.368,0.17300000000000001,0.26899999999999996
STL,2352,6114,5507,1363,920,257,21,165,672,639,478,1318,56,0.248,0.312,0.392,0.703,0.144,0.294,0.21600000000000003,0.078,0.36,0.307,98,0.317,0.669,0.47100000000000003,0.642,0.861,0.778,0.43799999999999994,0.626,0.10400000000000001,0.426,0.369,0.205,0.165,0.525,0.311,88.7,0.067,0.381,0.17600000000000002,0.281
CLE,2455,5927,5310,1263,815,245,18,185,708,670,466,1196,87,0.238,0.307,0.395,0.703,0.157,0.271,0.20199999999999999,0.079,0.39,0.306,100,0.337,0.701,0.49,0.667,0.8690000000000001,0.789,0.42,0.619,0.10400000000000001,0.41200000000000003,0.395,0.193,0.174,0.541,0.285,87.7,0.057999999999999996,0.337,0.157,0.261
COL,2277,6026,5454,1319,838,277,25,179,682,655,453,1617,51,0.242,0.304,0.4,0.704,0.158,0.308,0.268,0.075,0.28,0.306,82,0.354,0.718,0.505,0.5589999999999999,0.8390000000000001,0.725,0.41600000000000004,0.639,0.139,0.43200000000000005,0.369,0.198,0.147,0.512,0.34,88.6,0.08199999999999999,0.39299999999999996,0.15,0.289
SFG,2414,6062,5460,1303,830,266,30,177,693,661,492,1452,52,0.239,0.305,0.396,0.701,0.157,0.29,0.24,0.081,0.34,0.305,97,0.304,0.68,0.466,0.617,0.861,0.7709999999999999,0.43,0.624,0.107,0.405,0.401,0.19399999999999998,0.162,0.526,0.312,89.3,0.086,0.396,0.175,0.282
CIN,2380,5970,5325,1230,770,257,29,174,699,663,496,1459,87,0.231,0.305,0.388,0.693,0.157,0.283,0.244,0.083,0.34,0.303,89,0.305,0.691,0.46799999999999997,0.586,0.863,0.759,0.423,0.621,0.113,0.41700000000000004,0.384,0.19899999999999998,0.16699999999999998,0.5429999999999999,0.29,87.8,0.07,0.359,0.16399999999999998,0.27699999999999997
SEA,2383,6067,5330,1195,769,228,13,185,676,642,571,1625,116,0.224,0.311,0.376,0.687,0.152,0.284,0.268,0.094,0.35,0.303,104,0.299,0.696,0.466,0.581,0.8340000000000001,0.74,0.42,0.627,0.121,0.39399999999999996,0.41100000000000003,0.19399999999999998,0.156,0.525,0.319,89.2,0.08900000000000001,0.405,0.162,0.28300000000000003
OAK,2384,6034,5432,1267,812,240,19,196,643,619,493,1502,53,0.233,0.301,0.393,0.694,0.159,0.284,0.249,0.08199999999999999,0.33,0.303,101,0.316,0.705,0.48,0.5670000000000001,0.846,0.7390000000000001,0.42100000000000004,0.617,0.125,0.419,0.397,0.184,0.156,0.539,0.305,89.2,0.085,0.392,0.16,0.285
TEX,2291,6053,5472,1302,891,220,15,176,683,652,490,1284,55,0.238,0.305,0.38,0.686,0.142,0.279,0.212,0.081,0.38,0.3,97,0.314,0.713,0.483,0.623,0.866,0.775,0.423,0.627,0.109,0.42200000000000004,0.39,0.18899999999999997,0.162,0.521,0.317,88.6,0.07400000000000001,0.389,0.154,0.262
