game_pk,game_date,at_bat_number,inning,outs_when_up,pitcher_id,pitcher_name,p_throws,batter_id,stand,home_team,away_team,events,outcome,launch_speed,launch_angle,estimated_ba_using_speedangle,estimated_woba_using_speedangle,is_home_batter
747206,2024-05-05,77,9,2,656464,"Ginkel, Kevin",R,630105,L,AZ,SD,field_out,OUT,93.0,35,0.149,0.288,True
747206,2024-05-05,76,9,2,656464,"Ginkel, Kevin",R,665487,R,AZ,SD,single,1B,102.8,8,0.668,0.61,True
747206,2024-05-05,75,9,1,656464,"Ginkel, Kevin",R,650333,L,AZ,SD,field_out,OUT,72.4,9,0.263,0.238,True
747206,2024-05-05,74,9,0,656464,"Ginkel, Kevin",R,543309,R,AZ,SD,strikeout,K,,,,0.0,True
747206,2024-05-05,73,8,2,593974,"Peralta, Wandy",L,606466,R,AZ,SD,field_out,OUT,85.2,-39,0.055,0.072,True
747206,2024-05-05,72,8,1,593974,"Peralta, Wandy",L,545341,R,AZ,SD,strikeout,K,,,,0.0,True
747206,2024-05-05,71,8,0,593974,"Peralta, Wandy",L,571466,L,AZ,SD,field_out,OUT,81.3,-12,0.076,0.052,True
747206,2024-05-05,70,8,2,657044,"Thompson, Ryan",R,673490,R,AZ,SD,field_out,OUT,87.3,28,0.047,0.052,True
747206,2024-05-05,69,8,2,657044,"Thompson, Ryan",R,701538,L,AZ,SD,single,1B,102.4,-3,0.403,0.4,True
747206,2024-05-05,68,8,1,657044,"Thompson, Ryan",R,593428,R,AZ,SD,strikeout,K,,,,0.0,True
747206,2024-05-05,67,8,0,657044,"Thompson, Ryan",R,595777,L,AZ,SD,field_out,OUT,93.8,2,0.439,0.423,True
747206,2024-05-05,66,7,2,663568,"Kolek, Stephen",R,621028,R,AZ,SD,field_out,OUT,94.8,-13,0.176,0.166,True
747206,2024-05-05,65,7,1,663568,"Kolek, Stephen",R,682998,L,AZ,SD,field_out,OUT,96.2,36,0.203,0.397,True
747206,2024-05-05,64,7,0,663568,"Kolek, Stephen",R,553993,R,AZ,SD,strikeout,K,,,,0.0,True
747206,2024-05-05,63,7,2,573009,"Mantiply, Joe",L,592518,R,AZ,SD,field_out,OUT,98.6,-17,0.184,0.169,True
747206,2024-05-05,62,7,1,573009,"Mantiply, Joe",L,630105,L,AZ,SD,strikeout,K,,,,0.0,True
747206,2024-05-05,61,7,0,573009,"Mantiply, Joe",L,665487,R,AZ,SD,field_out,OUT,49.6,-16,0.116,0.118,True
747206,2024-05-05,60,7,0,573009,"Mantiply, Joe",L,650333,L,AZ,SD,single,1B,86.2,-2,0.226,0.203,True
747206,2024-05-05,59,6,2,666745,"Brito, Jhony",R,592626,L,AZ,SD,field_out,OUT,107.9,-1,0.497,0.46,True
747206,2024-05-05,58,6,1,666745,"Brito, Jhony",R,572233,R,AZ,SD,field_out,OUT,102.3,47,0.026,0.038,True
747206,2024-05-05,57,6,0,666745,"Brito, Jhony",R,656976,L,AZ,SD,field_out,OUT,93.5,28,0.161,0.226,True
747206,2024-05-05,56,6,2,679885,"Martinez, Justin",R,543309,R,AZ,SD,field_out,OUT,100.4,-9,0.253,0.212,True
747206,2024-05-05,55,6,2,679885,"Martinez, Justin",R,673490,R,AZ,SD,single,1B,101.3,5,0.579,0.537,True
747206,2024-05-05,54,6,1,679885,"Martinez, Justin",R,701538,L,AZ,SD,field_out,OUT,90.0,-29,0.058,0.06,True
747206,2024-05-05,53,6,0,679885,"Martinez, Justin",R,593428,R,AZ,SD,field_out,OUT,47.8,-73,0.158,0.234,True
747206,2024-05-05,52,5,1,666745,"Brito, Jhony",R,606466,L,AZ,SD,grounded_into_double_play,OUT,78.2,-4,0.089,0.093,True
747206,2024-05-05,51,5,0,666745,"Brito, Jhony",R,664983,L,AZ,SD,field_out,OUT,78.5,30,0.089,0.081,True
747206,2024-05-05,50,5,0,666745,"Brito, Jhony",R,571466,L,AZ,SD,single,1B,85.2,-30,0.055,0.047,True
747206,2024-05-05,49,5,0,666745,"Brito, Jhony",R,621028,R,AZ,SD,single,1B,100.0,8,0.65,0.618,True
747206,2024-05-05,48,5,0,666745,"Brito, Jhony",R,682998,L,AZ,SD,single,1B,109.2,11,0.921,0.948,True
747206,2024-05-05,47,5,2,669194,"Nelson, Ryne",R,595777,L,AZ,SD,field_out,OUT,89.9,29,0.063,0.078,True
747206,2024-05-05,46,5,2,669194,"Nelson, Ryne",R,592518,R,AZ,SD,single,1B,103.1,1,0.489,0.441,True
747206,2024-05-05,45,5,1,669194,"Nelson, Ryne",R,630105,L,AZ,SD,field_out,OUT,98.0,31,0.3651578947368421,0.7221052631578949,True
747206,2024-05-05,44,5,0,669194,"Nelson, Ryne",R,665487,R,AZ,SD,field_out,OUT,90.6,5,0.437,0.393,True
747206,2024-05-05,43,4,2,666745,"Brito, Jhony",R,553993,R,AZ,SD,field_out,OUT,85.3,-31,0.061,0.05,True
747206,2024-05-05,42,4,2,666745,"Brito, Jhony",R,592626,L,AZ,SD,home_run,HR,100.5,38,0.2613,0.5047999999999999,True
747206,2024-05-05,41,4,2,666745,"Brito, Jhony",R,572233,R,AZ,SD,single,1B,101.6,-6,0.363,0.324,True
747206,2024-05-05,40,4,1,666745,"Brito, Jhony",R,656976,L,AZ,SD,field_out,OUT,29.3,-39,0.311,0.262,True
747206,2024-05-05,39,4,0,666745,"Brito, Jhony",R,606466,L,AZ,SD,field_out,OUT,93.3,29,0.174,0.318,True
747206,2024-05-05,38,4,0,663362,"Waldron, Matt",R,664983,L,AZ,SD,double,2B,103.3,14,0.745,0.766,True
747206,2024-05-05,37,4,0,663362,"Waldron, Matt",R,571466,L,AZ,SD,double,2B,99.1,19,0.326,0.379,True
747206,2024-05-05,36,4,2,669194,"Nelson, Ryne",R,650333,L,AZ,SD,field_out,OUT,82.1,50,0.018,0.018,True
747206,2024-05-05,35,4,2,669194,"Nelson, Ryne",R,543309,R,AZ,SD,single,1B,87.4,1,0.279,0.246,True
747206,2024-05-05,34,4,1,669194,"Nelson, Ryne",R,673490,R,AZ,SD,field_out,OUT,101.4,31,0.5134857142857143,1.008457142857143,True
747206,2024-05-05,33,4,0,669194,"Nelson, Ryne",R,701538,L,AZ,SD,strikeout,K,,,,0.0,True
747206,2024-05-05,32,3,2,663362,"Waldron, Matt",R,621028,R,AZ,SD,field_out,OUT,92.2,4,0.489,0.473,True
747206,2024-05-05,31,3,1,663362,"Waldron, Matt",R,682998,L,AZ,SD,field_out,OUT,74.5,82,0.003,0.002,True
747206,2024-05-05,30,3,0,663362,"Waldron, Matt",R,553993,R,AZ,SD,field_out,OUT,81.2,46,0.021,0.024,True
747206,2024-05-05,29,3,2,669194,"Nelson, Ryne",R,593428,R,AZ,SD,field_out,OUT,81.6,68,0.008,0.007,True
747206,2024-05-05,28,3,2,669194,"Nelson, Ryne",R,595777,L,AZ,SD,single,1B,75.9,24,0.784,0.728,True
747206,2024-05-05,27,3,0,669194,"Nelson, Ryne",R,592518,R,AZ,SD,grounded_into_double_play,OUT,104.6,-4,0.384,0.324,True
747206,2024-05-05,26,3,0,669194,"Nelson, Ryne",R,630105,L,AZ,SD,single,1B,97.4,9,0.671,0.614,True
747206,2024-05-05,25,3,0,669194,"Nelson, Ryne",R,665487,R,AZ,SD,double,2B,99.5,20,0.329,0.39,True
747206,2024-05-05,24,2,2,663362,"Waldron, Matt",R,592626,L,AZ,SD,field_out,OUT,99.5,15,0.676,0.672,True
747206,2024-05-05,23,2,2,663362,"Waldron, Matt",R,572233,R,AZ,SD,double,2B,105.3,21,0.631,1.0830857142857149,True
747206,2024-05-05,22,2,0,663362,"Waldron, Matt",R,656976,L,AZ,SD,grounded_into_double_play,OUT,103.1,-1,0.471,0.448,True
747206,2024-05-05,21,2,0,663362,"Waldron, Matt",R,606466,L,AZ,SD,walk,BB,,,,0.689131,True
747206,2024-05-05,20,2,0,663362,"Waldron, Matt",R,664983,L,AZ,SD,single,1B,69.6,1,0.111,0.122,True
747206,2024-05-05,19,2,0,663362,"Waldron, Matt",R,571466,L,AZ,SD,walk,BB,,,,0.689131,True
747206,2024-05-05,18,2,2,669194,"Nelson, Ryne",R,650333,L,AZ,SD,field_out,OUT,86.3,-22,0.055,0.083,True
747206,2024-05-05,17,2,2,669194,"Nelson, Ryne",R,543309,R,AZ,SD,double,2B,103.8,9,0.742,0.689,True
747206,2024-05-05,16,2,2,669194,"Nelson, Ryne",R,673490,R,AZ,SD,walk,BB,,,,0.689131,True
747206,2024-05-05,15,2,2,669194,"Nelson, Ryne",R,701538,L,AZ,SD,home_run,HR,101.0,26,0.5675277777777779,1.058638888888889,True
747206,2024-05-05,14,2,2,669194,"Nelson, Ryne",R,593428,R,AZ,SD,single,1B,72.4,20,0.926,0.845,True
747206,2024-05-05,13,2,1,669194,"Nelson, Ryne",R,595777,L,AZ,SD,field_out,OUT,83.7,-30,0.061,0.05,True
747206,2024-05-05,12,2,0,669194,"Nelson, Ryne",R,592518,R,AZ,SD,field_out,OUT,103.1,-18,0.168,0.167,True
