feature,importance,importance_pct,cumulative_pct,category
b_avg_launch_angle,416.0,1.2854979759587157,1.2854979759587157,Batter Profile
p_total_pitches,379.0,1.1711628194431567,2.4566607954018727,Other
p_chase_pct_induced,354.0,1.0939093353110225,3.550570130712895,Other
b_roll25_k_rate,323.0,0.9981150149871758,4.548685145700071,Batter Rolling
p_csw_pct,316.0,0.9764840394301783,5.52516918513025,Other
p_roll5_bb_rate,301.0,0.9301319489508977,6.4553011340811475,Pitcher Rolling
b_chase_pct,295.0,0.9115911127591855,7.366892246840333,Batter Profile
p_roll20_k_rate,292.0,0.9023206946633293,8.269212941503662,Pitcher Rolling
p_roll5_barrel_rate,289.0,0.8930502765674732,9.162263218071136,Pitcher Rolling
p_ff_usage_pct,286.0,0.883779858471617,10.046043076542752,Pitch Usage
b_roll25_bb_rate,281.0,0.8683291616451903,10.914372238187942,Batter Rolling
b_roll25_zone_swing_rate,281.0,0.8683291616451903,11.782701399833133,Batter Rolling
b_csw_pct,280.0,0.8652390222799048,12.647940422113038,Batter Profile
p_ff_whiff_pct,277.0,0.8559686041840486,13.503909026297087,Pitcher Whiff
p_roll5_k_rate,275.0,0.8497883254534779,14.353697351750565,Pitcher Rolling
p_roll20_bb_rate,274.0,0.8466981860881925,15.200395537838757,Pitcher Rolling
p_roll5_chase_rate,272.0,0.8405179073576219,16.040913445196377,Pitcher Rolling
b_roll50_contact_rate,271.0,0.8374277679923365,16.878341213188715,Batter Rolling
b_roll100_avg_exit_velo,271.0,0.8374277679923365,17.715768981181053,Batter Rolling
p_f_strike_pct,271.0,0.8374277679923365,18.55319674917339,Other
p_roll5_avg_velo,269.0,0.8312474892617657,19.384444238435158,Pitcher Rolling
b_roll100_k_rate,266.0,0.8219770711659096,20.20642130960107,Batter Rolling
p_roll10_xwoba,264.0,0.8157967924353388,21.02221810203641,Pitcher Rolling
p_roll20_zone_rate,263.0,0.8127066530700534,21.83492475510646,Pitcher Rolling
b_roll25_contact_rate,262.0,0.8096165137047682,22.644541268811228,Batter Rolling
p_roll5_zone_rate,259.0,0.800346095608912,23.44488736442014,Pitcher Rolling
b_roll25_barrel_rate,259.0,0.800346095608912,24.245233460029052,Batter Rolling
p_zone_pct,259.0,0.800346095608912,25.045579555637964,Other
p_roll10_k_rate,258.0,0.7972559562436267,25.842835511881592,Pitcher Rolling
b_roll25_xwoba,258.0,0.7972559562436267,26.64009146812522,Batter Rolling
p_roll5_xwoba,257.0,0.7941658168783412,27.43425728500356,Pitcher Rolling
p_roll20_xwoba,257.0,0.7941658168783412,28.2284231018819,Pitcher Rolling
p_roll10_barrel_rate,256.0,0.7910756775130559,29.019498779394958,Pitcher Rolling
b_roll100_bb_rate,255.0,0.7879855381477705,29.807484317542727,Batter Rolling
p_roll5_csw_rate,255.0,0.7879855381477705,30.595469855690496,Pitcher Rolling
p_roll5_whiff_rate,254.0,0.784895398782485,31.38036525447298,Pitcher Rolling
p_roll10_csw_rate,247.0,0.7632644232254875,32.14362967769847,Pitcher Rolling
b_roll25_chase_rate,247.0,0.7632644232254875,32.90689410092396,Batter Rolling
p_roll10_bb_rate,244.0,0.7539940051296313,33.66088810605359,Pitcher Rolling
b_roll100_zone_swing_rate,244.0,0.7539940051296313,34.414882111183225,Batter Rolling
b_roll50_k_rate,243.0,0.750903865764346,35.16578597694757,Batter Rolling
b_roll100_contact_rate,241.0,0.7447235870337753,35.91050956398134,Batter Rolling
p_roll10_avg_velo,241.0,0.7447235870337753,36.65523315101512,Pitcher Rolling
p_roll20_csw_rate,239.0,0.7385433083032045,37.393776459318325,Pitcher Rolling
p_roll20_avg_exit_velo,239.0,0.7385433083032045,38.13231976762153,Pitcher Rolling
